"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","163","Newly added test","chromium","Sun Mar 01 20:25:46 UTC 2026","passed","Sun Mar 01 20:25:46 UTC 2026","","todo.spec.ts","",""
"","2142","should be able to delete a todo","chromium","Sun Mar 01 20:25:44 UTC 2026","passed","Sun Mar 01 20:25:46 UTC 2026","","todo.spec.ts","",""
"","269","added test","firefox","Sun Mar 01 20:25:57 UTC 2026","passed","Sun Mar 01 20:25:57 UTC 2026","","todo.spec.ts","",""
"","155","added test","chromium","Sun Mar 01 20:25:46 UTC 2026","passed","Sun Mar 01 20:25:47 UTC 2026","","todo.spec.ts","",""
"","168","dummy test","chromium","Sun Mar 01 20:25:46 UTC 2026","passed","Sun Mar 01 20:25:46 UTC 2026","","todo.spec.ts","",""
"","269","dummy test","firefox","Sun Mar 01 20:25:57 UTC 2026","passed","Sun Mar 01 20:25:57 UTC 2026","","todo.spec.ts","",""
"","2022","should be able to add a new todo","chromium","Sun Mar 01 20:25:41 UTC 2026","passed","Sun Mar 01 20:25:43 UTC 2026","","todo.spec.ts","",""
"","1759","should be able to register to our application","firefox","Sun Mar 01 20:25:57 UTC 2026","passed","Sun Mar 01 20:25:59 UTC 2026","","user.spec.ts","",""
"","3647","should be able to add a new todo","firefox","Sun Mar 01 20:25:50 UTC 2026","passed","Sun Mar 01 20:25:54 UTC 2026","","todo.spec.ts","",""
"","2100","should be able to delete a todo","firefox","Sun Mar 01 20:25:55 UTC 2026","passed","Sun Mar 01 20:25:57 UTC 2026","","todo.spec.ts","",""
"","273","Newly added test","firefox","Sun Mar 01 20:25:57 UTC 2026","passed","Sun Mar 01 20:25:57 UTC 2026","","todo.spec.ts","",""
"","1537","should be able to register to our application","chromium","Sun Mar 01 20:25:47 UTC 2026","passed","Sun Mar 01 20:25:48 UTC 2026","","user.spec.ts","",""
